က	Ka
ကက်	Ket
ကင်	Kin
ကင့်	Kin
ကင်း	Kin
ကစ်	Kit
ကည်	Kyi
ကည့်	Kyi
ကည်း	Kyi
ကတ်	Kat
ကန်	Kan
ကန့်	Kan
ကန်း	Kan
ကပ်	Kap
ကမ်	Kam
ကမ့်	Kam
ကမ်း	Kam
ကယ်	Kae
ကံ	Kan
ကံ့	Kan
ကာ	Kar
ကာ့	Kar
ကား	Kar
ကိ	Ki
ကိတ်	Keik
ကိန်	Kein
ကိန့်	Kein
ကိန်း	Kein
ကိပ်	Keik
ကိမ်	Kein
ကိမ့်	Kein
ကိမ်း	Kein
ကီ	Kee
ကီး	Kee
ကု	Ku
ကုတ်	Kok
ကုန်	Kon
ကုန့်	Kon
ကုန်း	Kon
ကုပ်	Kok
ကုံ	Kon
ကုံ့	Kon
ကုံး	Kon
ကူ	Koo
ကူး	Koo
ကေ	Kay
ကေ့	Kay
ကေး	Kay
ကဲ	Kae
ကဲ့	Kae
ကော	Kaw
ကော့	Kaw
ကောက်	Kauk
ကောင်	Kaung
ကောင့်	Kaung
ကောင်း	Kaung
ကော်	Kaw
ကို	Ko
ကို့	Ko
ကိုး	Ko
ကိုက်	Kaik
ကိုင်	Kaing
ကိုင့်	Kaing
ကိုင်း	Kaing
ကျ	Kya
ကျက်	Kyet
ကျင်	Kyin
ကျင့်	Kyin
ကျင်း	Kyin
ကျစ်	Kyit
ကျည်	Kyi
ကျည့်	Kyi
ကျည်း	Kyi
ကျတ်	Kyat
ကျန်	Kyan
ကျန့်	Kyan
ကျန်း	Kyan
ကျပ်	Kyap
ကျမ်	Kyam
ကျမ့်	Kyam
ကျမ်း	Kyam
ကျယ်	Kyae
ကျံ	Kyan
ကျံ့	Kyan
ကျာ	Kyar
ကျာ့	Kyar
ကျား	Kyar
ကျိ	Kyi
ကျိတ်	Kyeik
ကျိန်	Kyein
ကျိန့်	Kyein
ကျိန်း	Kyein
ကျိပ်	Kyeik
ကျိမ်	Kyein
ကျိမ့်	Kyein
ကျိမ်း	Kyein
ကျီ	Kyee
ကျီး	Kyee
ကျု	Kyu
ကျုတ်	Kyok
ကျုန်	Kyon
ကျုန့်	Kyon
ကျုန်း	Kyon
ကျုပ်	Kyok
ကျုံ	Kyon
ကျုံ့	Kyon
ကျုံး	Kyon
ကျူ	Kyoo
ကျူး	Kyoo
ကျေ	Kyay
ကျေ့	Kyay
ကျေး	Kyay
ကျဲ	Kyae
ကျဲ့	Kyae
ကျော	Kyaw
ကျော့	Kyaw
ကျောက်	Kyauk
ကျောင်	Kyaung
ကျောင့်	Kyaung
ကျောင်း	Kyaung
ကျော်	Kyaw
ကျို	Kyo
ကျို့	Kyo
ကျိုး	Kyo
ကျိုက်	Kyaik
ကျိုင်	Kyaing
ကျိုင့်	Kyaing
ကျိုင်း	Kyaing
ကြ	Kya
ကြက်	Kyet
ကြင်	Kyin
ကြင့်	Kyin
ကြင်း	Kyin
ကြစ်	Kyit
ကြည်	Kyi
ကြည့်	Kyi
ကြည်း	Kyi
ကြတ်	Kyat
ကြန်	Kyan
ကြန့်	Kyan
ကြန်း	Kyan
ကြပ်	Kyap
ကြမ်	Kyam
ကြမ့်	Kyam
ကြမ်း	Kyam
ကြယ်	Kyae
ကြံ	Kyan
ကြံ့	Kyan
ကြာ	Kyar
ကြာ့	Kyar
ကြား	Kyar
ကြိ	Kyi
ကြိတ်	Kyeik
ကြိန်	Kyein
ကြိန့်	Kyein
ကြိန်း	Kyein
ကြိပ်	Kyeik
ကြိမ်	Kyein
ကြိမ့်	Kyein
ကြိမ်း	Kyein
ကြီ	Kyee
ကြီး	Kyee
ကြု	Kyu
ကြုတ်	Kyok
ကြုန်	Kyon
ကြုန့်	Kyon
ကြုန်း	Kyon
ကြုပ်	Kyok
ကြုံ	Kyon
ကြုံ့	Kyon
ကြုံး	Kyon
ကြူ	Kyoo
ကြူး	Kyoo
ကြေ	Kyay
ကြေ့	Kyay
ကြေး	Kyay
ကြဲ	Kyae
ကြဲ့	Kyae
ကြော	Kyaw
ကြော့	Kyaw
ကြောက်	Kyauk
ကြောင်	Kyaung
ကြောင့်	Kyaung
ကြောင်း	Kyaung
ကြော်	Kyaw
ကြို	Kyo
ကြို့	Kyo
ကြိုး	Kyo
ကြိုက်	Kyaik
ကြိုင်	Kyaing
ကြိုင့်	Kyaing
ကြိုင်း	Kyaing
ကွ	Kwa
ကွက်	Kwet
ကွင်	Kwin
ကွင့်	Kwin
ကွင်း	Kwin
ကွတ်	Kwat
ကွန်	Kwan
ကွန့်	Kwan
ကွန်း	Kwan
ကွပ်	Kwap
ကွမ်	Kwam
ကွမ့်	Kwam
ကွမ်း	Kwam
ကွာ	Kwar
ကွာ့	Kwar
ကွား	Kwar
ကွိ	Kwi
ကွီ	Kwee
ကွီး	Kwee
ကွေ	Kway
ကွေ့	Kway
ကွေး	Kway
ကွဲ	Kwae
ကွဲ့	Kwae
ကွော်	Kwaw
ကျွ	Kywa
ကျွက်	Kywet
ကျွင်	Kywin
ကျွင့်	Kywin
ကျွင်း	Kywin
ကျွတ်	Kywat
ကျွန်	Kywan
ကျွန့်	Kywan
ကျွန်း	Kywan
ကျွပ်	Kywap
ကျွမ်	Kywam
ကျွမ့်	Kywam
ကျွမ်း	Kywam
ကျွာ	Kywar
ကျွာ့	Kywar
ကျွား	Kywar
ကျွိ	Kywi
ကျွီ	Kywee
ကျွီး	Kywee
ကျွေ	Kyway
ကျွေ့	Kyway
ကျွေး	Kyway
ကျွဲ	Kywae
ကျွဲ့	Kywae
ကျွော်	Kywaw
ကြွ	Kywa
ကြွက်	Kywet
ကြွင်	Kywin
ကြွင့်	Kywin
ကြွင်း	Kywin
ကြွတ်	Kywat
ကြွန်	Kywan
ကြွန့်	Kywan
ကြွန်း	Kywan
ကြွပ်	Kywap
ကြွမ်	Kywam
ကြွမ့်	Kywam
ကြွမ်း	Kywam
ကြွာ	Kywar
ကြွာ့	Kywar
ကြွား	Kywar
ကြွိ	Kywi
ကြွီ	Kywee
ကြွီး	Kywee
ကြွေ	Kyway
ကြွေ့	Kyway
ကြွေး	Kyway
ကြွဲ	Kywae
ကြွဲ့	Kywae
ကြွော်	Kywaw
