ခ	Kha
ခက်	Khet
ခင်	Khin
ခင့်	Khin
ခင်း	Khin
ခစ်	Khit
ခည်	Khyi
ခည့်	Khyi
ခည်း	Khyi
ခတ်	Khat
ခန်	Khan
ခန့်	Khan
ခန်း	Khan
ခပ်	Khap
ခမ်	Kham
ခမ့်	Kham
ခမ်း	Kham
ခယ်	Khae
ခံ	Khan
ခံ့	Khan
ခါ	Khar
ခါ့	Khar
ခါး	Khar
ခိ	Khi
ခိတ်	Kheik
ခိန်	Khein
ခိန့်	Khein
ခိန်း	Khein
ခိပ်	Kheik
ခိမ်	Khein
ခိမ့်	Khein
ခိမ်း	Khein
ခီ	Khee
ခီး	Khee
ခု	Khu
ခုတ်	Khok
ခုန်	Khon
ခုန့်	Khon
ခုန်း	Khon
ခုပ်	Khok
ခုံ	Khon
ခုံ့	Khon
ခုံး	Khon
ခူ	Khoo
ခူး	Khoo
ခေ	Khay
ခေ့	Khay
ခေး	Khay
ခဲ	Khae
ခဲ့	Khae
ခေါ	Khaw
ခေါ့	Khaw
ခေါက်	Khauk
ခေါင်	Khaung
ခေါင့်	Khaung
ခေါင်း	Khaung
ခေါ်	Khaw
ခို	Kho
ခို့	Kho
ခိုး	Kho
ခိုက်	Khaik
ခိုင်	Khaing
ခိုင့်	Khaing
ခိုင်း	Khaing
ချ	Khya
ချက်	Khyet
ချင်	Khyin
ချင့်	Khyin
ချင်း	Khyin
ချစ်	Khyit
ချည်	Khyi
ချည့်	Khyi
ချည်း	Khyi
ချတ်	Khyat
ချန်	Khyan
ချန့်	Khyan
ချန်း	Khyan
ချပ်	Khyap
ချမ်	Khyam
ချမ့်	Khyam
ချမ်း	Khyam
ချယ်	Khyae
ချံ	Khyan
ချံ့	Khyan
ချာ	Khyar
ချာ့	Khyar
ချား	Khyar
ချိ	Khyi
ချိတ်	Khyeik
ချိန်	Khyein
ချိန့်	Khyein
ချိန်း	Khyein
ချိပ်	Khyeik
ချိမ်	Khyein
ချိမ့်	Khyein
ချိမ်း	Khyein
ချီ	Khyee
ချီး	Khyee
ချု	Khyu
ချုတ်	Khyok
ချုန်	Khyon
ချုန့်	Khyon
ချုန်း	Khyon
ချုပ်	Khyok
ချုံ	Khyon
ချုံ့	Khyon
ချုံး	Khyon
ချူ	Khyoo
ချူး	Khyoo
ချေ	Khyay
ချေ့	Khyay
ချေး	Khyay
ချဲ	Khyae
ချဲ့	Khyae
ချော	Khyaw
ချော့	Khyaw
ချောက်	Khyauk
ချောင်	Khyaung
ချောင့်	Khyaung
ချောင်း	Khyaung
ချော်	Khyaw
ချို	Khyo
ချို့	Khyo
ချိုး	Khyo
ချိုက်	Khyaik
ချိုင်	Khyaing
ချိုင့်	Khyaing
ချိုင်း	Khyaing
ခြ	Khya
ခြက်	Khyet
ခြင်	Khyin
ခြင့်	Khyin
ခြင်း	Khyin
ခြစ်	Khyit
ခြည်	Khyi
ခြည့်	Khyi
ခြည်း	Khyi
ခြတ်	Khyat
ခြန်	Khyan
ခြန့်	Khyan
ခြန်း	Khyan
ခြပ်	Khyap
ခြမ်	Khyam
ခြမ့်	Khyam
ခြမ်း	Khyam
ခြယ်	Khyae
ခြံ	Khyan
ခြံ့	Khyan
ခြာ	Khyar
ခြာ့	Khyar
ခြား	Khyar
ခြိ	Khyi
ခြိတ်	Khyeik
ခြိန်	Khyein
ခြိန့်	Khyein
ခြိန်း	Khyein
ခြိပ်	Khyeik
ခြိမ်	Khyein
ခြိမ့်	Khyein
ခြိမ်း	Khyein
ခြီ	Khyee
ခြီး	Khyee
ခြု	Khyu
ခြုတ်	Khyok
ခြုန်	Khyon
ခြုန့်	Khyon
ခြုန်း	Khyon
ခြုပ်	Khyok
ခြုံ	Khyon
ခြုံ့	Khyon
ခြုံး	Khyon
ခြူ	Khyoo
ခြူး	Khyoo
ခြေ	Khyay
ခြေ့	Khyay
ခြေး	Khyay
ခြဲ	Khyae
ခြဲ့	Khyae
ခြော	Khyaw
ခြော့	Khyaw
ခြောက်	Khyauk
ခြောင်	Khyaung
ခြောင့်	Khyaung
ခြောင်း	Khyaung
ခြော်	Khyaw
ခြို	Khyo
ခြို့	Khyo
ခြိုး	Khyo
ခြိုက်	Khyaik
ခြိုင်	Khyaing
ခြိုင့်	Khyaing
ခြိုင်း	Khyaing
ခွ	Khwa
ခွက်	Khwet
ခွင်	Khwin
ခွင့်	Khwin
ခွင်း	Khwin
ခွတ်	Khwat
ခွန်	Khwan
ခွန့်	Khwan
ခွန်း	Khwan
ခွပ်	Khwap
ခွမ်	Khwam
ခွမ့်	Khwam
ခွမ်း	Khwam
ခွာ	Khwar
ခွာ့	Khwar
ခွား	Khwar
ခွိ	Khwi
ခွီ	Khwee
ခွီး	Khwee
ခွေ	Khway
ခွေ့	Khway
ခွေး	Khway
ခွဲ	Khwae
ခွဲ့	Khwae
ခွော်	Khwaw
ချွ	Khywa
ချွက်	Khywet
ချွင်	Khywin
ချွင့်	Khywin
ချွင်း	Khywin
ချွတ်	Khywat
