ဂ	Ga
ဂက်	Get
ဂင်	Gin
ဂင့်	Gin
ဂင်း	Gin
ဂစ်	Git
ဂည်	Gyi
ဂည့်	Gyi
ဂည်း	Gyi
ဂတ်	Gat
ဂန်	Gan
ဂန့်	Gan
ဂန်း	Gan
ဂပ်	Gap
ဂမ်	Gam
ဂမ့်	Gam
ဂမ်း	Gam
ဂယ်	Gae
ဂံ	Gan
ဂံ့	Gan
ဂါ	Gar
ဂါ့	Gar
ဂါး	Gar
ဂိ	Gi
ဂိတ်	Geik
ဂိန်	Gein
ဂိန့်	Gein
ဂိန်း	Gein
ဂိပ်	Geik
ဂိမ်	Gein
ဂိမ့်	Gein
ဂိမ်း	Gein
ဂီ	Gee
ဂီး	Gee
ဂု	Gu
ဂုတ်	Gok
ဂုန်	Gon
ဂုန့်	Gon
ဂုန်း	Gon
ဂုပ်	Gok
ဂုံ	Gon
ဂုံ့	Gon
ဂုံး	Gon
ဂူ	Goo
ဂူး	Goo
ဂေ	Gay
ဂေ့	Gay
ဂေး	Gay
ဂဲ	Gae
ဂဲ့	Gae
ဂေါ	Gaw
ဂေါ့	Gaw
ဂေါက်	Gauk
ဂေါင်	Gaung
ဂေါင့်	Gaung
ဂေါင်း	Gaung
ဂေါ်	Gaw
ဂို	Go
ဂို့	Go
ဂိုး	Go
ဂိုက်	Gaik
ဂိုင်	Gaing
ဂိုင့်	Gaing
ဂိုင်း	Gaing
ဂျ	Gya
ဂျက်	Gyet
ဂျင်	Gyin
ဂျင့်	Gyin
ဂျင်း	Gyin
ဂျစ်	Gyit
ဂျည်	Gyi
ဂျည့်	Gyi
ဂျည်း	Gyi
ဂျတ်	Gyat
ဂျန်	Gyan
ဂျန့်	Gyan
ဂျန်း	Gyan
ဂျပ်	Gyap
ဂျမ်	Gyam
ဂျမ့်	Gyam
ဂျမ်း	Gyam
ဂျယ်	Gyae
ဂျံ	Gyan
ဂျံ့	Gyan
ဂျာ	Gyar
ဂျာ့	Gyar
ဂျား	Gyar
ဂျိ	Gyi
ဂျိတ်	Gyeik
ဂျိန်	Gyein
ဂျိန့်	Gyein
ဂျိန်း	Gyein
ဂျိပ်	Gyeik
ဂျိမ်	Gyein
ဂျိမ့်	Gyein
ဂျိမ်း	Gyein
ဂျီ	Gyee
ဂျီး	Gyee
ဂျု	Gyu
ဂျုတ်	Gyok
ဂျုန်	Gyon
ဂျုန့်	Gyon
ဂျုန်း	Gyon
ဂျုပ်	Gyok
ဂျုံ	Gyon
ဂျုံ့	Gyon
ဂျုံး	Gyon
ဂျူ	Gyoo
ဂျူး	Gyoo
ဂျေ	Gyay
ဂျေ့	Gyay
ဂျေး	Gyay
ဂျဲ	Gyae
ဂျဲ့	Gyae
ဂျော	Gyaw
ဂျော့	Gyaw
ဂျောက်	Gyauk
ဂျောင်	Gyaung
ဂျောင့်	Gyaung
ဂျောင်း	Gyaung
ဂျော်	Gyaw
ဂျို	Gyo
ဂျို့	Gyo
ဂျိုး	Gyo
ဂျိုက်	Gyaik
ဂျိုင်	Gyaing
ဂျိုင့်	Gyaing
ဂျိုင်း	Gyaing
ဂြ	Gya
ဂြက်	Gyet
ဂြင်	Gyin
ဂြင့်	Gyin
ဂြင်း	Gyin
ဂြစ်	Gyit
ဂြည်	Gyi
ဂြည့်	Gyi
ဂြည်း	Gyi
ဂြတ်	Gyat
ဂြန်	Gyan
ဂြန့်	Gyan
ဂြန်း	Gyan
ဂြပ်	Gyap
ဂြမ်	Gyam
ဂြမ့်	Gyam
ဂြမ်း	Gyam
ဂြယ်	Gyae
ဂြံ	Gyan
ဂြံ့	Gyan
ဂြာ	Gyar
ဂြာ့	Gyar
ဂြား	Gyar
ဂြိ	Gyi
ဂြိတ်	Gyeik
ဂြိန်	Gyein
ဂြိန့်	Gyein
ဂြိန်း	Gyein
ဂြိပ်	Gyeik
ဂြိမ်	Gyein
ဂြိမ့်	Gyein
ဂြိမ်း	Gyein
ဂြီ	Gyee
ဂြီး	Gyee
ဂြု	Gyu
ဂြုတ်	Gyok
ဂြုန်	Gyon
ဂြုန့်	Gyon
ဂြုန်း	Gyon
ဂြုပ်	Gyok
ဂြုံ	Gyon
ဂြုံ့	Gyon
ဂြုံး	Gyon
ဂြူ	Gyoo
ဂြူး	Gyoo
ဂြေ	Gyay
ဂြေ့	Gyay
ဂြေး	Gyay
ဂြဲ	Gyae
ဂြဲ့	Gyae
ဂြော	Gyaw
ဂြော့	Gyaw
ဂြောက်	Gyauk
ဂြောင်	Gyaung
ဂြောင့်	Gyaung
ဂြောင်း	Gyaung
ဂြော်	Gyaw
ဂြို	Gyo
ဂြို့	Gyo
ဂြိုး	Gyo
ဂြိုက်	Gyaik
ဂြိုင်	Gyaing
ဂြိုင့်	Gyaing
ဂြိုင်း	Gyaing
ဂွ	Gwa
ဂွက်	Gwet
ဂွင်	Gwin
ဂွင့်	Gwin
ဂွင်း	Gwin
ဂွတ်	Gwat
ဂွန်	Gwan
ဂွန့်	Gwan
ဂွန်း	Gwan
ဂွပ်	Gwap
ဂွမ်	Gwam
ဂွမ့်	Gwam
ဂွမ်း	Gwam
ဂွာ	Gwar
ဂွာ့	Gwar
ဂွား	Gwar
ဂွိ	Gwi
ဂွီ	Gwee
ဂွီး	Gwee
ဂွေ	Gway
ဂွေ့	Gway
ဂွေး	Gway
ဂွဲ	Gwae
ဂွဲ့	Gwae
ဂွော်	Gwaw
ဂျွ	Gywa
ဂျွက်	Gywet
ဂျွင်	Gywin
ဂျွင့်	Gywin
ဂျွင်း	Gywin
ဂျွတ်	Gywat
ဂျွန်	Gywan
ဂျွန့်	Gywan
ဂျွန်း	Gywan
ဂျွပ်	Gywap
ဂျွမ်	Gywam
ဂျွမ့်	Gywam
ဂျွမ်း	Gywam
ဂျွာ	Gywar
ဂျွာ့	Gywar
ဂျွား	Gywar
ဂျွိ	Gywi
ဂျွီ	Gywee
ဂျွီး	Gywee
ဂျွေ	Gyway
ဂျွေ့	Gyway
ဂျွေး	Gyway
ဂျွဲ	Gywae
ဂျွဲ့	Gywae
ဂျွော်	Gywaw
ဂြွ	Gywa
ဂြွက်	Gywet
ဂြွင်	Gywin
ဂြွင့်	Gywin
ဂြွင်း	Gywin
ဂြွတ်	Gywat
ဂြွန်	Gywan
ဂြွန့်	Gywan
ဂြွန်း	Gywan
ဂြွပ်	Gywap
ဂြွမ်	Gywam
ဂြွမ့်	Gywam
ဂြွမ်း	Gywam
ဂြွာ	Gywar
ဂြွာ့	Gywar
ဂြွား	Gywar
ဂြွိ	Gywi
ဂြွီ	Gywee
ဂြွီး	Gywee
ဂြွေ	Gyway
ဂြွေ့	Gyway
ဂြွေး	Gyway
ဂြွဲ	Gywae
ဂြွဲ့	Gywae
ဂြွော်	Gywaw
