ဃ	Gha
ဃက်	Ghet
ဃင်	Ghin
ဃင့်	Ghin
ဃင်း	Ghin
ဃစ်	Ghit
ဃည်	Ghyi
ဃည့်	Ghyi
ဃည်း	Ghyi
ဃတ်	Ghat
ဃန်	Ghan
ဃန့်	Ghan
ဃန်း	Ghan
ဃပ်	Ghap
ဃမ်	Gham
ဃမ့်	Gham
ဃမ်း	Gham
ဃယ်	Ghae
ဃံ	Ghan
ဃံ့	Ghan
ဃာ	Ghar
ဃာ့	Ghar
ဃား	Ghar
ဃိ	Ghi
ဃိတ်	Gheik
ဃိန်	Ghein
ဃိန့်	Ghein
ဃိန်း	Ghein
ဃိပ်	Gheik
ဃိမ်	Ghein
ဃိမ့်	Ghein
ဃိမ်း	Ghein
ဃီ	Ghee
ဃီး	Ghee
ဃု	Ghu
ဃုတ်	Ghok
ဃုန်	Ghon
ဃုန့်	Ghon
ဃုန်း	Ghon
ဃုပ်	Ghok
ဃုံ	Ghon
ဃုံ့	Ghon
ဃုံး	Ghon
ဃူ	Ghoo
ဃူး	Ghoo
ဃေ	Ghay
ဃေ့	Ghay
ဃေး	Ghay
ဃဲ	Ghae
ဃဲ့	Ghae
ဃော	Ghaw
ဃော့	Ghaw
ဃောက်	Ghauk
ဃောင်	Ghaung
ဃောင့်	Ghaung
ဃောင်း	Ghaung
ဃော်	Ghaw
ဃို	Gho
ဃို့	Gho
ဃိုး	Gho
ဃိုက်	Ghaik
ဃိုင်	Ghaing
ဃိုင့်	Ghaing
ဃိုင်း	Ghaing
ဃျ	Ghya
ဃျက်	Ghyet
ဃျင်	Ghyin
ဃျင့်	Ghyin
ဃျင်း	Ghyin
ဃျစ်	Ghyit
ဃျည်	Ghyi
ဃျည့်	Ghyi
ဃျည်း	Ghyi
ဃျတ်	Ghyat
ဃျန်	Ghyan
ဃျန့်	Ghyan
ဃျန်း	Ghyan
ဃျပ်	Ghyap
ဃျမ်	Ghyam
ဃျမ့်	Ghyam
ဃျမ်း	Ghyam
ဃျယ်	Ghyae
ဃျံ	Ghyan
ဃျံ့	Ghyan
ဃျာ	Ghyar
ဃျာ့	Ghyar
ဃျား	Ghyar
ဃျိ	Ghyi
ဃျိတ်	Ghyeik
ဃျိန်	Ghyein
ဃျိန့်	Ghyein
ဃျိန်း	Ghyein
ဃျိပ်	Ghyeik
ဃျိမ်	Ghyein
ဃျိမ့်	Ghyein
ဃျိမ်း	Ghyein
ဃျီ	Ghyee
ဃျီး	Ghyee
ဃျု	Ghyu
ဃျုတ်	Ghyok
ဃျုန်	Ghyon
ဃျုန့်	Ghyon
ဃျုန်း	Ghyon
ဃျုပ်	Ghyok
ဃျုံ	Ghyon
ဃျုံ့	Ghyon
ဃျုံး	Ghyon
ဃျူ	Ghyoo
ဃျူး	Ghyoo
ဃျေ	Ghyay
ဃျေ့	Ghyay
ဃျေး	Ghyay
ဃျဲ	Ghyae
ဃျဲ့	Ghyae
ဃျော	Ghyaw
ဃျော့	Ghyaw
ဃျောက်	Ghyauk
ဃျောင်	Ghyaung
ဃျောင့်	Ghyaung
ဃျောင်း	Ghyaung
ဃျော်	Ghyaw
ဃျို	Ghyo
ဃျို့	Ghyo
ဃျိုး	Ghyo
ဃျိုက်	Ghyaik
ဃျိုင်	Ghyaing
ဃျိုင့်	Ghyaing
ဃျိုင်း	Ghyaing
ဃြ	Ghya
ဃြက်	Ghyet
ဃြင်	Ghyin
ဃြင့်	Ghyin
ဃြင်း	Ghyin
ဃြစ်	Ghyit
ဃြည်	Ghyi
ဃြည့်	Ghyi
ဃြည်း	Ghyi
ဃြတ်	Ghyat
ဃြန်	Ghyan
ဃြန့်	Ghyan
ဃြန်း	Ghyan
ဃြပ်	Ghyap
ဃြမ်	Ghyam
ဃြမ့်	Ghyam
ဃြမ်း	Ghyam
ဃြယ်	Ghyae
ဃြံ	Ghyan
ဃြံ့	Ghyan
ဃြာ	Ghyar
ဃြာ့	Ghyar
ဃြား	Ghyar
ဃြိ	Ghyi
ဃြိတ်	Ghyeik
ဃြိန်	Ghyein
ဃြိန့်	Ghyein
ဃြိန်း	Ghyein
ဃြိပ်	Ghyeik
ဃြိမ်	Ghyein
ဃြိမ့်	Ghyein
ဃြိမ်း	Ghyein
ဃြီ	Ghyee
ဃြီး	Ghyee
ဃြု	Ghyu
ဃြုတ်	Ghyok
ဃြုန်	Ghyon
ဃြုန့်	Ghyon
ဃြုန်း	Ghyon
ဃြုပ်	Ghyok
ဃြုံ	Ghyon
ဃြုံ့	Ghyon
ဃြုံး	Ghyon
ဃြူ	Ghyoo
ဃြူး	Ghyoo
ဃြေ	Ghyay
ဃြေ့	Ghyay
ဃြေး	Ghyay
ဃြဲ	Ghyae
ဃြဲ့	Ghyae
ဃြော	Ghyaw
ဃြော့	Ghyaw
ဃြောက်	Ghyauk
ဃြောင်	Ghyaung
ဃြောင့်	Ghyaung
ဃြောင်း	Ghyaung
ဃြော်	Ghyaw
ဃြို	Ghyo
ဃြို့	Ghyo
ဃြိုး	Ghyo
ဃြိုက်	Ghyaik
ဃြိုင်	Ghyaing
ဃြိုင့်	Ghyaing
ဃြိုင်း	Ghyaing
ဃွ	Ghwa
ဃွက်	Ghwet
ဃွင်	Ghwin
ဃွင့်	Ghwin
ဃွင်း	Ghwin
ဃွတ်	Ghwat
ဃွန်	Ghwan
ဃွန့်	Ghwan
ဃွန်း	Ghwan
ဃွပ်	Ghwap
ဃွမ်	Ghwam
ဃွမ့်	Ghwam
ဃွမ်း	Ghwam
ဃွာ	Ghwar
ဃွာ့	Ghwar
ဃွား	Ghwar
ဃွိ	Ghwi
ဃွီ	Ghwee
ဃွီး	Ghwee
ဃွေ	Ghway
ဃွေ့	Ghway
