စ	Sa
စံ	San
စံ့	San
စက်	Set
စင်	Sin
စင်း	Sin
စင့်	Sin
စစ်	Sit
စည်	Si
စည်း	Si
စည့်	Si
စတ်	Sat
စန်	San
စန်း	San
စန့်	San
စပ်	Sap
စမ်	Sam
စမ်း	Sam
စမ့်	Sam
စယ်	Sae
စျ	Za
စျက်	Zet
စျင်	Zin
စျင်း	Zin
စျင့်	Zin
စျစ်	Zit
စျည်	Zi
စျည်း	Zi
စျည့်	Zi
စျတ်	Zat
စျန်	Zan
စျန်း	Zan
စျန့်	Zan
စျပ်	Zap
စျမ်	Zam
စျမ်း	Zam
စျမ့်	Zam
စျယ်	Zae
စျာ	Zar
စျား	Zar
စျိ	Zi
စျိတ်	Zeik
စျိန်	Zein
စျိန်း	Zein
စျိန့်	Zein
စျိပ်	Zeik
စျိမ်	Zein
စျိမ်း	Zein
စျိမ့်	Zein
စျို	Zo
စျိုး	Zo
စျို့	Zo
စျိုက်	Zaik
စျိုင်	Zaing
စျိုင်း	Zaing
စျိုင့်	Zaing
စျီ	Zee
စျီး	Zee
စျု	Zu
စျုတ်	Zok
စျုန်	Zon
စျုန်း	Zon
စျုန့်	Zon
စျုပ်	Zok
စျူ	Zoo
စျူး	Zoo
စျေ	Zay
စျေး	Zay
စျေ့	Zay
စျော	Zaw
စျော့	Zaw
စျောက်	Zauk
စျောင်	Zaung
စျောင်း	Zaung
စျောင့်	Zaung
စျဲ	Zae
စျဲ့	Zae
စွာ	Swa
စာ	Sar
စား	Sar
စိ	Si
စိတ်	Seik
စိန်	Sein
စိန်း	Sein
စိန့်	Sein
စိပ်	Seik
စိမ်	Sein
စိမ်း	Sein
စိမ့်	Sein
စို	Soh
စိုး	Soh
စို့	Soh
စိုက်	Saik
စိုင်	Saing
စိုင်း	Saing
စိုင့်	Saing
စီ	See
စီး	See
စု	Su
စုံ	Son
စုံး	Son
စုံ့	Son
စုတ်	Sok
စုန်	Son
စုန်း	Son
စုန့်	Son
စုပ်	Sok
စူ	Soo
စူး	Soo
စေ	Say
စေ့	Say
စော	Saw
စော့	Saw
စောက်	Sauk
စောင်	Saung
စောင်း	Saung
စောင့်	Saung
စော်	Saw
စဲ	Sae
စဲ့	Sae
