ဆ	Hsa
ဆံ	Hsan
ဆံ့	Hsan
ဆက်	Hset
ဆင်	Hsin
ဆင်း	Hsin
ဆင့်	Hsin
ဆင့်	Hshin
ဆစ်	Hsit
ဆည်	Hsi
ဆည်း	Hsi
ဆည့်	Hsi
ဆတ်	Hsat
ဆန်	Hsan
ဆန်း	Hsan
ဆန့်	Hsan
ဆပ်	Hsap
ဆမ်	Hsam
ဆမ်း	Hsam
ဆမ့်	Hsam
ဆယ်	Hsae
ဆျ	Hsya
ဆျက်	Hsyet
ဆျင်	Hsyin
ဆျင်း	Hsyin
ဆျင့်	Hsyin
ဆျစ်	Hsyit
ဆျည်	Hsyi
ဆျတ်	Hsyat
ဆျန်	Hsyan
ဆျန်း	Hsyan
ဆျန့်	Hsyan
ဆျပ်	Hsyap
ဆျမ်	Hsyam
ဆျယ်	Hsyae
ဆျာ	Hsyar
ဆျား	Hsyar
ဆျိ	Hsyi
ဆျိတ်	Hsyeik
ဆျိန်	Hsyein
ဆျို	Hsyo
ဆျိုက်	Hsyaik
ဆျိုင်	Hsyaing
ဆျိုင်း	Hsyaing
ဆျိုင့်	Hsyaing
ဆျီ	Hsyee
ဆျု	Hsyu
ဆျုတ်	Hsyok
ဆျုန်	Hsyon
ဆျူ	Hsyoo
ဆျေ	Hsyay
ဆျော	Hsyaw
ဆျောက်	Hsyauk
ဆျောင်	Hsyaung
ဆျောင်း	Hsyaung
ဆျောင့်	Hsyaung
ဆျဲ	Hsyae
ဆွ	Hswa
ဆွက်	Hswet
ဆွင်း	Hswin
ဆွတ်	Hswat
ဆွန်	Hswon
ဆွန်း	Hswon
ဆွပ်	Hswap
ဆွာ	Hswar
ဆွား	Hswar
ဆွေ	Hsway
ဆွေး	Hsway
ဆွေ့	Hsway
ဆွဲ	Hswae
ဆွဲ့	Hswae
ဆာ	Hsar
ဆား	Hsar
ဆိ	Hsi
ဆိတ်	Hseik
ဆိန်	Hsein
ဆိန်း	Hsein
ဆိန့်	Hsein
ဆိပ်	Hseik
ဆိမ်	Hsein
ဆိမ်း	Hsein
ဆိမ့်	Hsein
ဆိုး	Hsoh
ဆို့	Hsoh
ဆိုက်	Hsaik
ဆိုင်	Hsaing
ဆိုင်း	Hsaing
ဆိုင့်	Hsaing
ဆိူ	Hsoh
ဆီ	Hsee
ဆီး	Hsee
ဆု	Hsu
ဆုံ	Hson
ဆုံး	Hson
ဆုံ့	Hson
ဆုတ်	Hsok
ဆုန်	Hson
ဆုန်း	Hson
ဆုန့်	Hson
ဆုပ်	Hsok
ဆူ	Hsoo
ဆူး	Hsoo
ဆေ	Hsay
ဆေး	Say
ဆေး	Hsay
ဆေ့	Hsay
ဆော	Hsaw
ဆော့	Hsaw
ဆောက်	Hsauk
ဆောင်	Hsaung
ဆောင်း	Hsaung
ဆောင့်	Hsaung
ဆော်	Hsaw
ဆဲ	Hsae
ဆဲ့	Hsae
