ဇ	Za
ဇံ	Zan
ဇံ့	Zan
ဇက်	Zet
ဇင်	Zin
ဇင်း	Zin
ဇင့်	Zin
ဇစ်	Zit
ဇည်	Zi
ဇည်း	Zi
ဇည့်	Zi
ဇတ်	Zat
ဇန်	Zan
ဇန်း	Zan
ဇန့်	Zan
ဇပ်	Zap
ဇမ်	Zam
ဇမ်း	Zam
ဇမ့်	Zam
ဇယ်	Zae
ဇွ	Zwa
ဇွက်	Zwet
ဇွင်း	Zwin
ဇွတ်	Zwat
ဇွန်	Zwon
ဇွန်း	Zwon
ဇွပ်	Zwap
ဇွာ	Zwar
ဇွား	Zwar
ဇွေ	Zway
ဇွေး	Zway
ဇွေ့	Zway
ဇွဲ	Zwae
ဇွဲ့	Zwae
ဇာ	Zar
ဇား	Zar
ဇိ	Zi
ဇိတ်	Zeik
ဇိန်	Zein
ဇိန်း	Zein
ဇိန့်	Zein
ဇိပ်	Zeik
ဇိမ်	Zein
ဇိမ်း	Zein
ဇိမ့်	Zein
ဇို	Zo
ဇိုး	Zo
ဇို့	Zo
ဇိုက်	Zaik
ဇိုင်	Zaing
ဇိုင်း	Zaing
ဇိုင့်	Zaing
ဇီ	Zee
ဇီး	Zee
ဇု	Zu
ဇုံ	Zon
ဇုံး	Zon
ဇုံ့	Zon
ဇုတ်	Zok
ဇုန်	Zon
ဇုန်း	Zon
ဇုန့်	Zon
ဇုပ်	Zok
ဇူ	Zoo
ဇူး	Zoo
ဇေ	Zay
ဇေး	Zay
ဇေ့	Zay
ဇော	Zaw
ဇော့	Zaw
ဇောက်	Zauk
ဇောင်	Zaung
ဇောင်း	Zaung
ဇောင့်	Zaung
ဇော်	Zaw
ဇဲ	Zae
ဇဲ့	Zae
