တ	Ta
တံ	Tan
တံ့	Tan
တက်	Tet
တင်	Tin
တင်း	Tin
တင့်	Tin
တစ်	Tit
တည်း	Tee
တတ်	Tat
တန်	Tan
တန်း	Tan
တန့်	Tan
တပ်	Tap
တမ်	Tam
တမ်း	Tam
တမ့်	Tam
တယ်	Tae
တျ	Tya
တျက်	Tyet
တျင်	Tyin
တျင်း	Tyin
တျင့်	Tyin
တျစ်	Tyit
တျည်	Tyi
တျတ်	Tyat
တျန်	Tyan
တျန်း	Tyan
တျန့်	Tyan
တျပ်	Tyap
တျမ်	Tyam
တျယ်	Tyae
တျာ	Tyar
တျား	Tyar
တျိ	Tyi
တျိတ်	Tyeik
တျိန်	Tyein
တျို	Tyo
တျိုက်	Tyaik
တျိုင်	Tyaing
တျိုင်း	Tyaing
တျိုင့်	Tyaing
တျီ	Tyee
တျု	Tyu
တျုတ်	Tyok
တျုန်	Tyon
တျူ	Tyoo
တျေ	Tyay
တျော	Tyaw
တျောက်	Tyauk
တျောင်	Tyaung
တျောင်း	Tyaung
တျောင့်	Tyaung
တျဲ	Tyae
တြ	Tra
တြက်	Tret
တြင်	Trin
တြင်း	Trin
တြင့်	Trin
တြစ်	Trit
တြည်	Tri
တြတ်	Trat
တြန်	Tran
တြန်း	Tran
တြန့်	Tran
တြပ်	Trap
တြမ်	Tram
တြယ်	Trae
တြာ	Trar
တြား	Trar
တြိ	Tri
တြိတ်	Treik
တြိန်	Trein
တြို	Tro
တြိုက်	Traik
တြိုင်	Traing
တြိုင်း	Traing
တြိုင့်	Traing
တြီ	Tree
တြု	Tru
တြုတ်	Trok
တြုန်	Tron
တြူ	Troo
တြေ	Tray
တြော	Traw
တြောက်	Trauk
တြောင်	Traung
တြောင်း	Traung
တြောင့်	Traung
တြဲ	Trae
တွ	Twa
တွက်	Twet
တွင်း	Twin
တွတ်	Twat
တွန်	Twon
တွန်း	Twon
တွန့်	Twon
တွပ်	Twap
တွမ်	Twam
တွမ်း	Twam
တွာ	Twar
တွား	Twar
တွိ	Twi
တွီ	Twee
တွေး	Tway
တွဲ့	Twae
တာ	Tar
တား	Tar
တိ	Ti
တိတ်	Teik
တိန်	Tein
တိန်း	Tein
တိန့်	Tein
တိပ်	Teik
တိမ်	Tein
တိမ်း	Tein
တိမ့်	Tein
တို	To
တိုး	To
တို့	To
တို့	Hto
တိုက်	Taik
တိုင်	Taing
တိုင်း	Taing
တိုင့်	Taing
တီ	Tee
တီး	Tee
တု	Tu
တုံ	Ton
တုံး	Ton
တုံ့	Ton
တုတ်	Tok
တုန်	Ton
တုန်း	Ton
တုန့်	Ton
တုပ်	Tok
တူ	Too
တူး	Too
တေ	Tay
တေး	Tay
တေ့	Tay
တော	Taw
တော့	Taw
တော့	Daw
တောက်	Tauk
တောင်	Taung
တောင်း	Taung
တောင့်	Taung
တော်	Taw
တဲ	Tae
တဲ့	Tae
