ဒ	Da
ဒက်	Det
ဒင်	Din
ဒင့်	Din
ဒင်း	Din
ဒစ်	Dit
ဒည်	Dyi
ဒည့်	Dyi
ဒည်း	Dyi
ဒတ်	Dat
ဒန်	Dan
ဒန့်	Dan
ဒန်း	Dan
ဒပ်	Dap
ဒမ်	Dam
ဒမ့်	Dam
ဒမ်း	Dam
ဒယ်	Dae
ဒံ	Dan
ဒံ့	Dan
ဒာ	Dar
ဒာ့	Dar
ဒား	Dar
ဒိ	Di
ဒိတ်	Deik
ဒိန်	Dein
ဒိန့်	Dein
ဒိန်း	Dein
ဒိပ်	Deik
ဒိမ်	Dein
ဒိမ့်	Dein
ဒိမ်း	Dein
ဒီ	Dee
ဒီး	Dee
ဒု	Du
ဒုတ်	Dok
ဒုန်	Don
ဒုန့်	Don
ဒုန်း	Don
ဒုပ်	Dok
ဒုံ	Don
ဒုံ့	Don
ဒုံး	Don
ဒူ	Doo
ဒူး	Doo
ဒေ	Day
ဒေ့	Day
ဒေး	Day
ဒဲ	Dae
ဒဲ့	Dae
ဒေါ	Daw
ဒော့	Daw
ဒောက်	Dauk
ဒောင်	Daung
ဒောင့်	Daung
ဒေါင်း	Daung
ဒေါ်	Daw
ဒို	Do
ဒို့	Do
ဒိုး	Do
ဒိုက်	Daik
ဒိုင်	Kaing
ဒိုင့်	Kaing
ဒိုင်း	Kaing
ဒျ	Dya
ဒျက်	Dyet
ဒျင်	Dyin
ဒျင့်	Dyin
ဒျင်း	Dyin
ဒျစ်	Dyit
ဒျည်	Dyi
ဒျည့်	Dyi
ဒျည်း	Dyi
ဒျတ်	Dyat
ဒျန်	Dyan
ဒျန့်	Dyan
ဒျန်း	Dyan
ဒျပ်	Dyap
ဒျမ်	Dyam
ဒျမ့်	Dyam
ဒျမ်း	Dyam
ဒျယ်	Dyae
ဒျံ	Dyan
ဒျံ့	Dyan
ဒျာ	Dyar
ဒျာ့	Dyar
ဒျား	Dyar
ဒျိ	Dyi
ဒျိတ်	Dyeik
ဒျိန်	Dyein
ဒျိန့်	Dyein
ဒျိန်း	Dyein
ဒျိပ်	Dyeik
ဒျိမ်	Dyein
ဒျိမ့်	Dyein
ဒျိမ်း	Dyein
ဒျီ	Dyee
ဒျီး	Dyee
ဒျု	Dyu
ဒျုတ်	Dyok
ဒျုန်	Dyon
ဒျုန့်	Dyon
ဒျုန်း	Dyon
ဒျုပ်	Dyok
ဒျုံ	Dyon
ဒျုံ့	Dyon
ဒျုံး	Dyon
ဒျူ	Dyoo
ဒျူး	Dyoo
ဒျေ	Dyay
ဒျေ့	Dyay
ဒျေး	Dyay
ဒျဲ	Dyae
ဒျဲ့	Dyae
ဒျော	Dyaw
ဒျော့	Dyaw
ဒျောက်	Dyauk
ဒျောင်	Dyaung
ဒျောင့်	Dyaung
ဒျောင်း	Dyaung
ဒျော်	Dyaw
ဒျို	Dyo
ဒျို့	Dyo
ဒျိုး	Dyo
ဒျိုက်	Dyaik
ဒျိုင်	Dyaing
ဒျိုင့်	Dyaing
ဒျိုင်း	Dyaing
ဒြ	Dya
ဒြက်	Dyet
ဒြင်	Dyin
ဒြင့်	Dyin
ဒြင်း	Dyin
ဒြစ်	Dyit
ဒြည်	Dyi
ဒြည့်	Dyi
ဒြည်း	Dyi
ဒြတ်	Dyat
ဒြန်	Dyan
ဒြန့်	Dyan
ဒြန်း	Dyan
ဒြပ်	Dyap
ဒြမ်	Dyam
ဒြမ့်	Dyam
ဒြမ်း	Dyam
ဒြယ်	Dyae
ဒြံ	Dyan
ဒြံ့	Dyan
ဒြာ	Dyar
ဒြာ့	Dyar
ဒြား	Dyar
ဒြိ	Dyi
ဒြိတ်	Dyeik
ဒြိန်	Dyein
ဒြိန့်	Dyein
ဒြိန်း	Dyein
ဒြိပ်	Dyeik
ဒြိမ်	Dyein
ဒြိမ့်	Dyein
ဒြိမ်း	Dyein
ဒြီ	Dyee
ဒြီး	Dyee
ဒြု	Dyu
ဒြုတ်	Dyok
ဒြုန်	Dyon
ဒြုန့်	Dyon
ဒြုန်း	Dyon
ဒြုပ်	Dyok
ဒြုံ	Dyon
ဒြုံ့	Dyon
ဒြုံး	Dyon
ဒြူ	Dyoo
ဒြူး	Dyoo
ဒြေ	Dyay
ဒြေ့	Dyay
ဒြေး	Dyay
ဒြဲ	Dyae
ဒြဲ့	Dyae
ဒြော	Dyaw
ဒြော့	Dyaw
ဒြောက်	Dyauk
ဒြောင်	Dyaung
ဒြောင့်	Dyaung
ဒြောင်း	Dyaung
ဒြော်	Dyaw
ဒြို	Dyo
ဒြို့	Dyo
ဒြိုး	Dyo
ဒြိုက်	Dyaik
ဒြိုင်	Dyaing
ဒြိုင့်	Dyaing
ဒြိုင်း	Dyaing
ဒွ	Dwa
ဒွက်	Dwet
ဒွင်	Dwin
ဒွင့်	Dwin
ဒွင်း	Dwin
ဒွတ်	Dwat
ဒွန်	Dwan
ဒွန့်	Dwan
ဒွန်း	Dwan
ဒွပ်	Dwap
ဒွမ်	Dwam
ဒွမ့်	Dwam
ဒွမ်း	Dwam
ဒွာ	Dwar
ဒွာ့	Dwar
ဒွား	Dwar
ဒွိ	Dwi
ဒွီ	Dwee
ဒွီး	Dwee
ဒွေ	Dway
ဒွေ့	Dway
ဒွေး	Dway
ဒွဲ	Dwae
ဒွဲ့	Dwae
ဒွော်	Dwaw
ဒျွ	Dywa
ဒျွက်	Dywet
ဒျွင်	Dywin
ဒျွင့်	Dywin
ဒျွင်း	Dywin
ဒျွတ်	Tywat
ဒျွန်	Tywan
ဒျွန့်	Tywan
ဒျွန်း	Tywan
ဒျွပ်	Tywap
ဒျွမ်	Tywam
ဒျွမ့်	Tywam
ဒျွမ်း	Tywam
ဒျွာ	Tywar
ဒျွာ့	Tywar
ဒျွား	Tywar
ဒျွိ	Tywi
ဒျွီ	Tywee
ဒျွီး	Tywee
ဒျွေ	Tyway
ဒျွေ့	Tyway
ဒျွေး	Tyway
ဒျွဲ	Tywae
ဒျွဲ့	Tywae
ဒျွော်	Tywaw
ဒြွ	Dywa
ဒြွက်	Dywet
ဒြွင်	Dywin
ဒြွင့်	Dywin
ဒြွင်း	Dywin
ဒြွတ်	Tywat
ဒြွန်	Tywan
ဒြွန့်	Tywan
ဒြွန်း	Tywan
ဒြွပ်	Tywap
ဒြွမ်	Tywam
ဒြွမ့်	Tywam
ဒြွမ်း	Tywam
ဒြွာ	Tywar
ဒြွာ့	Tywar
ဒြွား	Tywar
ဒြွိ	Tywi
ဒြွီ	Tywee
ဒြွီး	Tywee
ဒြွေ	Tyway
ဒြွေ့	Tyway
ဒြွေး	Tyway
ဒြွဲ	Tywae
ဒြွဲ့	Tywae
ဒြွော်	Tywaw
