ဓ	Dha
ဓက်	Dhet
ဓင်	Dhin
ဓင့်	Dhin
ဓင်း	Dhin
ဓစ်	Dhit
ဓည်	Dhyi
ဓည့်	Dhyi
ဓည်း	Dhyi
ဓတ်	Dhat
ဓန်	Dhan
ဓန့်	Dhan
ဓန်း	Dhan
ဓပ်	Dhap
ဓမ်	Dham
ဓမ့်	Dham
ဓမ်း	Dham
ဓယ်	Dhae
ဓံ	Dhan
ဓံ့	Dhan
ဓာ	Dhar
ဓာ့	Dhar
ဓား	Dhar
ဓိ	Dhi
ဓိတ်	Dheik
ဓိန်	Dhein
ဓိန့်	Dhein
ဓိန်း	Dhein
ဓိပ်	Dheik
ဓိမ်	Dhein
ဓိမ့်	Dhein
ဓိမ်း	Dhein
ဓီ	Dhee
ဓီး	Dhee
ဓု	Dhu
ဓုတ်	Dhok
ဓုန်	Dhon
ဓုန့်	Dhon
ဓုန်း	Dhon
ဓုပ်	Dhok
ဓုံ	Dhon
ဓုံ့	Dhon
ဓုံး	Dhon
ဓူ	Dhoo
ဓူး	Dhoo
ဓေ	Dhay
ဓေ့	Dhay
ဓေး	Dhay
ဓဲ	Dhae
ဓဲ့	Dhae
ဓော	Dhaw
ဓော့	Dhaw
ဓောက်	Dhauk
ဓောင်	Dhaung
ဓောင့်	Dhaung
ဓောင်း	Dhaung
ဓော်	Dhaw
ဓို	Dho
ဓို့	Dho
ဓိုး	Dho
ဓိုက်	Dhaik
ဓိုင်	Dhaing
ဓိုင့်	Dhaing
ဓိုင်း	Dhaing
ဓျ	Dhya
ဓျက်	Dhyet
ဓျင်	Dhyin
ဓျင့်	Dhyin
ဓျင်း	Dhyin
ဓျစ်	Dhyit
ဓျည်	Dhyi
ဓျည့်	Dhyi
ဓျည်း	Dhyi
ဓျတ်	Dhyat
ဓျန်	Dhyan
ဓျန့်	Dhyan
ဓျန်း	Dhyan
ဓျပ်	Dhyap
ဓျမ်	Dhyam
ဓျမ့်	Dhyam
ဓျမ်း	Dhyam
ဓျယ်	Dhyae
ဓျံ	Dhyan
ဓျံ့	Dhyan
ဓျာ	Dhyar
ဓျာ့	Dhyar
ဓျား	Dhyar
ဓျိ	Dhyi
ဓျိတ်	Dhyeik
ဓျိန်	Dhyein
ဓျိန့်	Dhyein
ဓျိန်း	Dhyein
ဓျိပ်	Dhyeik
ဓျိမ်	Dhyein
ဓျိမ့်	Dhyein
ဓျိမ်း	Dhyein
ဓျီ	Dhyee
ဓျီး	Dhyee
ဓျု	Dhyu
ဓျုတ်	Dhyok
