ဗ	Ba
ဗက်	Bet
ဗင်	Bin
ဗင့်	Bin
ဗင်း	Bin
ဗစ်	Bit
ဗည်	Byi
ဗည့်	Byi
ဗည်း	Byi
ဗတ်	Bat
ဗန်	Ban
ဗန့်	Ban
ဗန်း	Ban
ဗပ်	Bap
ဗမ်	Bam
ဗမ့်	Bam
ဗမ်း	Bam
ဗယ်	Bae
ဗံ	Ban
ဗံ့	Ban
ဗာ	Bar
ဗာ့	Bar
ဗား	Bar
ဗိ	Bi
ဗိတ်	Beik
ဗိန်	Bein
ဗိန့်	Bein
ဗိန်း	Bein
ဗိပ်	Beik
ဗိမ်	Bein
ဗိမ့်	Bein
ဗိမ်း	Bein
ဗီ	Bee
ဗီး	Bee
ဗု	Bu
ဗုတ်	Bok
ဗုန်	Bon
ဗုန့်	Bon
ဗုန်း	Bon
ဗုပ်	Bok
ဗုံ	Bon
ဗုံ့	Bon
ဗုံး	Bon
ဗူ	Boo
ဗူး	Boo
ဗေ	Bay
ဗေ့	Bay
ဗေး	Bay
ဗဲ	Bae
ဗဲ့	Bae
ဗေါ	Baw
ဗေါ့	Baw
ဗေါက်	Bauk
ဗေါင်	Baung
ဗေါင့်	Baung
ဗေါင်း	Baung
ဗော်	Baw
ဗို	Bo
ဗို့	Bo
ဗိုး	Bo
ဗိုက်	Baik
ဗိုင်	Baing
ဗိုင့်	Baing
ဗိုင်း	Baing
ဗျ	Bya
ဗျက်	Byet
ဗျင်	Byin
ဗျင့်	Byin
ဗျင်း	Byin
ဗျစ်	Byit
ဗျည်	Byi
ဗျည့်	Byi
ဗျည်း	Byi
ဗျတ်	Byat
ဗျန်	Byan
ဗျန့်	Byan
ဗျန်း	Byan
ဗျပ်	Byap
ဗျမ်	Byam
ဗျမ့်	Byam
ဗျမ်း	Byam
ဗျယ်	Byae
ဗျံ	Byan
ဗျံ့	Byan
ဗျာ	Byar
ဗျာ့	Byar
ဗျား	Byar
ဗျိ	Byi
ဗျိတ်	Byeik
ဗျိန်	Byein
