ဘ	Ba
ဘံ	Ban
ဘံ့	Ban
ဘက်	Bet
ဘင်	Bin
ဘင်း	Bin
ဘင့်	Bin
ဘစ်	Bit
ဘည်	Bi
ဘည်း	Bi
ဘည့်	Bi
ဘတ်	Bat
ဘန်	Ban
ဘန်း	Ban
ဘန့်	Ban
ဘပ်	Bap
ဘမ်	Bam
ဘမ်း	Bam
ဘမ့်	Bam
ဘယ်	Bae
ဘျ	Bya
ဘျက်	Byet
ဘျင်	Byin
ဘျင်း	Byin
ဘျင့်	Byin
ဘျစ်	Byit
ဘျည်	Byi
ဘျတ်	Byat
ဘျန်	Byan
ဘျန်း	Byan
ဘျန့်	Byan
ဘျပ်	Byap
ဘျမ်	Byam
ဘျယ်	Byae
ဘျာ	Byar
ဘျား	Byar
ဘျိ	Byi
ဘျိတ်	Byeik
ဘျိန်	Byein
ဘျို	Byo
ဘျိုက်	Byaik
ဘျိုင်	Byaing
ဘျိုင်း	Byaing
ဘျိုင့်	Byaing
ဘျီ	Byee
ဘျု	Byu
ဘျုတ်	Byok
ဘျုန်	Byon
ဘျူ	Byoo
ဘျေ	Byay
ဘျော	Byaw
ဘျောက်	Byauk
ဘျောင်	Byaung
ဘျောင်း	Byaung
ဘျောင့်	Byaung
ဘျဲ	Byae
ဘြ	Bya
ဘြက်	Byet
ဘြင်	Byin
ဘြင်း	Byin
ဘြင့်	Byin
ဘြစ်	Byit
ဘြည်	Byi
ဘြတ်	Byat
ဘြန်	Byan
ဘြန်း	Byan
ဘြန့်	Byan
ဘြပ်	Byap
ဘြမ်	Byam
ဘြယ်	Byae
ဘြာ	Byar
ဘြား	Byar
ဘြိ	Byi
ဘြိတ်	Byeik
ဘြိန်	Byein
ဘြို	Byo
ဘြိုက်	Byaik
ဘြိုင်	Byaing
ဘြိုင်း	Byaing
ဘြိုင့်	Byaing
ဘြီ	Byee
ဘြု	Byu
ဘြုတ်	Byok
ဘြုန်	Byon
ဘြူ	Byoo
ဘြေ	Byay
ဘြော	Byaw
ဘြောက်	Byauk
ဘြောင်	Byaung
ဘြောင်း	Byaung
ဘြောင့်	Byaung
ဘြဲ	Byae
ဘွ	Bwa
ဘွက်	Bwet
ဘွင်း	Bwin
ဘွတ်	Bwat
ဘွန်	Bwon
ဘွန်း	Bwon
ဘွန့်	Bwon
ဘွပ်	Bwap
ဘွမ်	Bwam
ဘွမ်း	Bwam
ဘွမ့်	Bwam
ဘွာ	Bwar
ဘွား	Bwar
ဘွေ	Bway
ဘွေး	Bway
ဘွေ့	Bway
ဘွဲ	Bwae
ဘွဲ့	Bwae
ဘာ	Bar
ဘား	Bar
ဘိ	Bi
ဘိတ်	Beik
ဘိန်	Bein
ဘိန်း	Bein
ဘိန့်	Bein
ဘိပ်	Beik
ဘိမ်	Bein
ဘိမ်း	Bein
ဘိမ့်	Bein
ဘို	Bo
ဘိုး	Bo
ဘို့	Bo
ဘိုက်	Baik
ဘိုင်	Baing
ဘိုင်း	Baing
ဘိုင့်	Baing
ဘီ	Bee
ဘီး	Bee
ဘု	Bu
ဘုံ	Bon
ဘုံး	Bon
ဘုံ့	Bon
ဘုတ်	Bok
ဘုန်	Bon
ဘုန်း	Bon
ဘုန့်	Bon
ဘုပ်	Bok
ဘူ	Boo
ဘူး	Boo
ဘေ	Bay
ဘေး	Bay
ဘေ့	Bay
ဘော	Baw
ဘော့	Baw
ဘောက်	Bauk
ဘောင်	Baung
ဘောင်း	Baung
ဘောင့်	Baung
ဘော်	Baw
ဘဲ	Bae
ဘဲ့	Bae
