ယ	Ya
ယက်	Yet
ယင်	Yin
ယင့်	Yin
ယင်း	Yin
ယစ်	Yit
ယည်	Yyi
ယည့်	Yyi
ယည်း	Yyi
ယတ်	Yat
ယန်	Yan
ယန့်	Yan
ယန်း	Yan
ယပ်	Yap
ယမ်	Yam
ယမ့်	Yam
ယမ်း	Yam
ယယ်	Yae
ယံ	Yan
ယံ့	Yan
ယာ	Yar
ယာ့	Yar
ယား	Yar
ယိ	Yi
ယိတ်	Yeik
ယိန်	Yein
ယိန့်	Yein
ယိန်း	Yein
ယိပ်	Yeik
ယိမ်	Yein
ယိမ့်	Yein
ယိမ်း	Yein
ယီ	Yee
ယီး	Yee
ယု	Yu
ယုတ်	Yok
ယုန်	Yon
ယုန့်	Yon
ယုန်း	Yon
ယုပ်	Yok
ယုံ	Yon
ယုံ့	Yon
ယုံး	Yon
ယူ	Yoo
ယူး	Yoo
ယေ	Yay
ယေ့	Yay
ယေး	Yay
ယဲ	Yae
ယဲ့	Yae
ယော	Yaw
ယော့	Yaw
ယောက်	Yauk
ယောင်	Yaung
ယောင့်	Yaung
ယောင်း	Yaung
ယော်	Yaw
ယို	Yo
ယို့	Yo
ယိုး	Yo
ယိုက်	Yaik
ယိုင်	Yaing
ယိုင့်	Yaing
ယိုင်း	Yaing
ယွ	Ywa
ယွက်	Ywet
ယွင်	Ywin
ယွင့်	Ywin
ယွင်း	Ywin
ယွတ်	Ywat
ယွန်	Ywan
ယွန့်	Ywan
ယွန်း	Ywan
ယွပ်	Ywap
ယွမ်	Ywam
ယွမ့်	Ywam
ယွမ်း	Ywam
ယွာ	Ywar
ယွာ့	Ywar
ယွား	Ywar
ယွိ	Ywi
ယွီ	Ywee
ယွီး	Ywee
ယွေ	Yway
ယွေ့	Yway
ယွေး	Yway
ယွဲ	Ywae
ယွဲ့	Ywae
ယွော်	Ywaw
ယှ	Yha
ယှက်	Yhet
ယှင်	Yhin
ယှင့်	Yhin
ယှင်း	Yhin
ယှစ်	Yhit
ယှတ်	Yhat
ယှန်	Yhan
ယှန့်	Yhan
ယှန်း	Yhan
ယှပ်	Yhap
ယှမ်	Yham
ယှမ့်	Yham
ယှမ်း	Yham
ယှယ်	Yhae
ယှံ	Yhan
ယှံ့	Yhan
ယှာ	Yhar
ယှာ့	Yhar
ယှား	Yhar
ယှိ	Yhi
ယှိတ်	Yheik
ယှိန်	Yhein
ယှိန့်	Yhein
ယှိန်း	Yhein
ယှိပ်	Yheik
ယှိမ်	Yhein
ယှိမ့်	Yhein
ယှိမ်း	Yhein
ယှီ	Yhee
ယှီး	Yhee
ယှု	Yhu
ယှုတ်	Yhok
ယှုန်	Yhon
ယှုန့်	Yhon
ယှုန်း	Yhon
ယှုပ်	Yhok
ယှုံ	Yhon
ယှုံ့	Yhon
ယှုံး	Yhon
ယှူ	Yhoo
ယှူး	Yhoo
ယှေ	Yhay
ယှေ့	Yhay
ယှေး	Yhay
ယှဲ	Yhae
ယှဲ့	Yhae
ယှော	Yhaw
ယှော့	Yhaw
ယှောက်	Yhauk
ယှောင်	Yhaung
ယှောင့်	Yhauk
ယှောင်း	Yhaung
ယှော်	Yhaw
ယှို	Yho
ယှို့	Yho
ယှိုး	Yho
ယှိုက်	Yhaik
ယှိုင်	Yhaing
ယှိုင့်	Yhaing
ယှိုင်း	Yhaing
ယွှ	Yhwa
ယွှက်	Yhwet
ယွှင်	Yhwin
ယွှင့်	Yhwin
ယွှင်း	Yhwin
ယွှတ်	Yhwat
ယွှန်	Yhwan
ယွှန့်	Yhwan
ယွှန်း	Yhwan
ယွှပ်	Yhwap
ယွှမ်	Yhwam
ယွှမ့်	Yhwam
ယွှမ်း	Yhwam
ယွှာ	Yhwar
ယွှာ့	Yhwar
ယွှား	Yhwar
ယွှိ	Yhwi
ယွှီ	Yhwee
ယွှီး	Yhwee
ယွှေ	Yhway
ယွှေ့	Yhway
ယွှေး	Yhway
ယွှဲ	Yhwae
ယွှဲ့	Yhwae
ယွှော်	Yhwaw
