ရ	Ra
ရက်	Ret
ရင်	Rin
ရင့်	Rin
ရင်း	Rin
ရစ်	Rit
ရည်	Ryi
ရည့်	Ryi
ရည်း	Ryi
ရတ်	Rat
ရန်	Ran
ရန့်	Ran
ရန်း	Ran
ရပ်	Rap
ရမ်	Ram
ရမ့်	Ram
ရမ်း	Ram
ရယ်	Rae
ရံ	Ran
ရံ့	Ran
ရာ	Rar
ရာ့	Rar
ရား	Rar
ရိ	Ri
ရိတ်	Reik
ရိန်	Rein
ရိန့်	Rein
ရိန်း	Rein
ရိပ်	Reik
ရိမ်	Rein
ရိမ့်	Rein
ရိမ်း	Rein
ရီ	Ree
ရီး	Ree
ရု	Ru
ရုတ်	Rok
ရုန်	Ron
ရုန့်	Ron
ရုန်း	Ron
ရုပ်	Rok
ရုံ	Ron
ရုံ့	Ron
ရုံး	Ron
ရူ	Roo
ရူး	Roo
ရေ	Ray
ရေ့	Ray
ရေး	Ray
ရဲ	Rae
ရဲ့	Rae
ရော	Raw
ရော့	Raw
ရောက်	Rauk
ရောင်	Raung
ရောင့်	Raung
ရောင်း	Raung
ရော်	Raw
ရို	Ro
ရို့	Ro
ရိုး	Ro
ရိုက်	Raik
ရိုင်	Raing
ရိုင့်	Raing
ရိုင်း	Raing
ရွ	Rwa
ရွက်	Rwet
ရွင်	Rwin
ရွင့်	Rwin
ရွင်း	Rwin
ရွတ်	Rwat
ရွန်	Rwan
ရွန့်	Rwan
ရွန်း	Rwan
ရွပ်	Rwap
ရွမ်	Rwam
ရွမ့်	Rwam
ရွမ်း	Rwam
ရွာ	Rwar
ရွာ့	Rwar
ရွား	Rwar
ရွိ	Rwi
ရွီ	Rwee
ရွီး	Rwee
ရွေ	Rway
ရွေ့	Rway
ရွေး	Rway
ရွဲ	Rwae
ရွဲ့	Rwae
ရွော်	Rwaw
ရှ	Rha
ရှက်	Rhet
ရှင်	Rhin
ရှင့်	Rhin
ရှင်း	Rhin
ရှစ်	Rhit
ရှတ်	Rhat
ရှန်	Rhan
ရှန့်	Rhan
ရှန်း	Rhan
ရှပ်	Rhap
ရှမ်	Rham
ရှမ့်	Rham
ရှမ်း	Rham
ရှယ်	Rhae
ရှံ	Rhan
ရှံ့	Rhan
ရှာ	Rhar
ရှာ့	Rhar
ရှား	Rhar
ရှိ	Rhi
ရှိတ်	Rheik
ရှိန်	Rhein
ရှိန့်	Rhein
ရှိန်း	Rhein
ရှိပ်	Rheik
ရှိမ်	Rhein
ရှိမ့်	Rhein
ရှိမ်း	Rhein
ရှီ	Rhee
ရှီး	Rhee
ရှု	Rhu
ရှုတ်	Rhok
ရှုန်	Rhon
ရှုန့်	Rhon
ရှုန်း	Rhon
ရှုပ်	Rhok
ရှုံ	Rhon
ရှုံ့	Rhon
ရှုံး	Rhon
ရှူ	Rhoo
ရှူး	Rhoo
ရှေ	Rhay
ရှေ့	Rhay
ရှေး	Rhay
ရှဲ	Rhae
ရှဲ့	Rhae
ရှော	Rhaw
ရှော့	Rhaw
ရှောက်	Rhauk
ရှောင်	Rhaung
ရှောင့်	Rhaung
ရှောင်း	Rhaung
ရှော်	Rhaw
ရှို	Rho
ရှို့	Rho
ရှိုး	Rho
ရှိုက်	Rhaik
ရှိုင်	Rhaing
ရှိုင့်	Rhaing
ရှိုင်း	Rhaing
ရွှ	Rhwa
ရွှက်	Rhwet
ရွှင်	Rhwin
ရွှင့်	Rhwin
ရွှင်း	Rhwin
ရွှတ်	Rhwat
ရွှန်	Rhwan
ရွှန့်	Rhwan
ရွှန်း	Rhwan
ရွှပ်	Rhwap
ရွှမ်	Rhwam
ရွှမ့်	Rhwam
ရွှမ်း	Rhwam
ရွှာ	Rhwar
ရွှာ့	Rhwar
ရွှား	Rhwar
ရွှိ	Rhwi
ရွှီ	Rhwee
ရွှီး	Rhwee
ရွှေ	Rhway
ရွှေ့	Rhway
ရွှေး	Rhway
ရွှွဲ	Rhwae
ရွှဲ့	Rhwae
ရွှော်	Rhwaw
