လ	La
လက်	Let
လင်	Lin
လင့်	Lin
လင်း	Lin
လစ်	Lit
လည်	Lyi
လည့်	Lyi
လည်း	Lyi
လတ်	Lat
လန်	Lan
လန့်	Lan
လန်း	Lan
လပ်	Lap
လမ်	Lam
လမ့်	Lam
လမ်း	Lam
လယ်	Lae
လံ	Lan
လံ့	Lan
လာ	Lar
လာ့	Lar
လား	Lar
လိ	Li
လိတ်	Leik
လိန်	Lein
လိန့်	Lein
လိန်း	Lein
လိပ်	Leik
လိမ်	Lein
လိမ့်	Lein
လိမ်း	Lein
လီ	Lee
လီး	Lee
လု	Lu
လုတ်	Lok
လုန်	Lon
လုန့်	Lon
လုန်း	Lon
လုပ်	Lok
လုံ	Lon
လုံ့	Lon
လုံး	Lon
လူ	Loo
လူး	Loo
လေ	Lay
လေ့	Lay
လေး	Lay
လဲ	Lae
လဲ့	Lae
လော	Law
လော့	Law
လောက်	Lauk
လောင်	Laung
လောင့်	Laung
လောင်း	Laung
လော်	Law
လို	Lo
လို့	Lo
လိုး	Lo
လိုက်	Laik
လိုင်	Laing
လိုင့်	Laing
လိုင်း	Laing
လျ	Lya
လျက်	Lyet
လျင်	Lyin
လျင့်	Lyin
လျင်း	Lyin
လျစ်	Lyit
လျည်	Lyi
လျည့်	Lyi
လျည်း	Lyi
လျတ်	Lyat
လျန်	Lyan
လျန့်	Lyan
လျန်း	Lyan
လျပ်	Lyap
လျမ်	Lyam
လျမ့်	Lyam
လျမ်း	Lyam
လျယ်	Lyae
လျံ	Lyan
လျံ့	Lyan
လျာ	Lyar
လျာ့	Lyar
လျား	Lyar
လျိ	Lyi
လျိတ်	Lyeik
လျိန်	Lyein
လျိန့်	Lyein
လျိန်း	Lyein
လျိပ်	Lyeik
လျိမ်	Lyein
လျိမ့်	Lyein
လျိမ်း	Lyein
လျီ	Lyee
လျီး	Lyee
လျု	Lyu
လျုတ်	Lyok
လျုန်	Lyon
လျုန့်	Lyon
လျုန်း	Lyon
လျုပ်	Lyok
လျုံ	Lyon
လျုံ့	Lyon
လျုံး	Lyon
လျူ	Lyoo
လျူး	Lyoo
လျေ	Lyay
လျေ့	Lyay
လျျေး	Lyay
လျဲ	Lyae
လျဲ့	Lyae
လျော	Lyaw
လျော့	Lyaw
လျောက်	Lyauk
လျောင်	Lyaung
လျောင့်	Lyaung
လျောင်း	Lyaung
လျော်	Lyaw
လျို	Lyo
လျို့	Lyo
မျိုး	Lyo
လျိုက်	Lyaik
လျိုင်	Lyaing
လျိုင့်	Lyaing
လျိုင်း	Lyaing
လြ	Lya
လြက်	Lyet
လြင်	Lyin
လြင့်	Lyin
လြင်း	Lyin
လြစ်	Lyit
လြည်	Lyi
လြည့်	Lyi
လြည်း	Lyi
လြတ်	Lyat
လြန်	Lyan
လြန့်	Lyan
လြန်း	Lyan
လြပ်	Lyap
လြမ်	Lyam
လြမ့်	Lyam
လြမ်း	Lyam
လြယ်	Lyae
လြံ	Lyan
လြံ့	Lyan
လြာ	Lyar
လြာ့	Lyar
လြား	Lyar
လြိ	Lyi
လြိတ်	Lyeik
လြိန်	Lyein
လြိန့်	Lyein
လြိန်း	Lyein
လြိပ်	Lyeik
လြိမ်	Lyein
လြိမ့်	Lyein
လြိမ်း	Lyein
လြီ	Lyee
လြီး	Lyee
လြု	Lyu
လြုတ်	Lyok
လြုန်	Lyon
လြုန့်	Lyon
လြုန်း	Lyon
လြုပ်	Lyok
လြုံ	Lyon
လြုံ့	Lyon
လြုံး	Lyon
လြူ	Lyoo
လြူး	Lyoo
လြေ	Lyay
လြေ့	Lyay
လြေး	Lyay
လြဲ	Lyae
လြဲ့	Lyae
လြော	Lyaw
လြော့	Lyaw
လြောက်	Lyauk
လြောင်	Lyaung
လြောင့်	Lyaung
လြောင်း	Lyaung
လြော်	Lyaw
လြို	Lyo
လြို့	Lyo
လြိုး	Lyo
လြိုက်	Lyaik
လြိုင်	Lyaing
လြိုင့်	Lyaing
လြိုင်း	Lyaing
လွ	Lwa
လွက်	Lwet
လွင်	Lwin
လွင့်	Lwin
လွင်း	Lwin
လွတ်	Lwat
လွန်	Lwan
လွန့်	Lwan
လွန်း	Lwan
လွပ်	Lwap
လွမ်	Lwam
လွမ့်	Lwam
လွမ်း	Lwam
လွာ	Lwar
လွာ့	Lwar
လွား	Lwar
လွိ	Lwi
လွီ	Lwee
လွီး	Lwee
လွေ	Lway
လွေ့	Lway
လွေး	Lway
လွဲ	Lwae
လွဲ့	Lwae
လွော်	Lwaw
လျွ	Lywa
လျွက်	Lywet
လျွင်	Lywin
လျွင့်	Lywin
လျွင်း	Lywin
လျွတ်	Lywat
လျွန်	Lywan
လျွန့်	Lywan
လျွန်း	Lywan
လျွပ်	Lywap
လျွမ်	Lywam
လျွမ့်	Lywam
လျွမ်း	Lywam
လျွာ	Lywar
လျွာ့	Lywar
လျွား	Lywar
လျွိ	Lywi
လျွီ	Lywee
လျွီး	Lywee
လျွေ	Lyway
လျွေ့	Lyway
လျွေး	Lyway
လျွဲ	Lywae
လျွဲ့	Lywae
လျွော်	Lywaw
လြွ	Lywa
လြွက်	Lywet
လြွင်	Lywin
လြွင့်	Lywin
လြွင်း	Lywin
လြွတ်	Lywat
လြွန်	Lywan
လြွန့်	Lywan
လြွန်း	Lywan
လြွပ်	Lywap
လြွမ်	Lywam
လြွမ့်	Lywam
လြွမ်း	Lywam
လြွာ	Lywar
လြွာ့	Lywar
လြွား	Lywar
လြွိ	Lywi
လြွီ	Lywee
လြွီး	Lywee
လြွေ	Lyway
လြွေ့	Lyway
လြွေး	Lyway
လြွဲ	Lywae
လြွဲ့	Lywae
လြွော်	Lywaw
လှ	Lha
လှက်	Lhet
လှင်	Lhin
လှင့်	Lhin
လှင်း	Lhin
လှစ်	Lhit
လှည်	Lhyi
လှည့်	Lhyi
လှည်း	Lhyi
လှတ်	Lhat
လှန်	Lhan
လှန့်	Lhan
လှန်း	Lhan
လှပ်	Lhap
လှမ်	Lham
လှမ့်	Lham
လှမ်း	Lham
လှယ်	Lhae
လှံ	Lhan
လှံ့	Lhan
လှာ	Lhar
လှာ့	Lhar
လှား	Lhar
လှိ	Lhi
လှိတ်	Lheik
လှိန်	Lhein
လှိန့်	Lhein
လှိန်း	Lhein
လှိပ်	Lheik
လှိမ်	Lhein
လှိမ့်	Lhein
လှိမ်း	Lhein
လှီ	Lhee
လှီး	Lhee
လှု	Lhu
လှုတ်	Lhok
လှုန်	Lhon
လှုန့်	Lhon
လှုန်း	Lhon
လှုပ်	Lhok
လှုံ	Lhon
လှုံ့	Lhon
လှုံး	Lhon
လှူ	Lhoo
လှူး	Lhoo
လှေ	Lhay
လှေ့	Lhay
လှေး	Lhay
လှဲ	Lhae
လှဲ့	Lhae
လှော	Lhaw
လှော့	Lhaw
လှောက်	Lhauk
လှောင်	Lhaung
လှောင့်	Lhaung
လှောင်း	Lhaung
လှော်	Lhaw
လှို	Lho
လှို့	Lho
လှိုး	Lho
လှိုက်	Lhaik
လှိုင်	Lhaing
လှိုင့်	Lhaing
လှိုင်း	Lhaing
လျှ	Lyha
လျှက်	Lyhet
လျှင်	Lyhin
လျှင့်	Lyhin
လျှင်း	Lyhin
လျှစ်	Lyhit
လျှည်	Lyhyi
လျှည့်	Lyhyi
လျှည်း	Lyhyi
လျှတ်	Lyhat
လျှန်	Lyhan
လျှန့်	Lyhan
လျှန်း	Lyhan
လျှပ်	Lyhap
လျှမ်	Lyham
လျှမ့်	Lyham
လျှမ်း	Lyham
လျှယ်	Lyhae
လျှံ	Lyhan
လျှံ့	Lyhan
လျှာ	Lyhar
လျှာ့	Lyhar
လျှား	Lyhar
လျှိ	Lyhi
လျှိတ်	Lyheik
လျှိန်	Lyhein
လျှိန့်	Lyhein
လျှိန်း	Lyhein
လျှိပ်	Lyheik
လျှိမ်	Lyhein
လျှိမ့်	Lyhein
လျှိမ်း	Lyhein
လျှီ	Lyhee
လျှီး	Lyhee
လျှု	Lyhu
လျှုတ်	Lyhok
လျှုန်	Lyhon
လျှုန့်	Lyhon
လျှုန်း	Lyhon
လျှုပ်	Lyhok
လျှုံ	Lyhon
လျှုံ့	Lyhon
လျှုံး	Lyhon
လျှူ	Lyhoo
လျှူး	Lyhoo
လျှေ	Lyhay
လျှေ့	Lyhay
လျှေး	Lyhay
လျှဲ	Lyhae
လျှဲ့	Lyhae
လျှော	Lyhaw
လျှော့	Lyhaw
လျှောက်	Lyhauk
လျှောင်	Lyhaung
လျှောင့်	Lyhaung
လျှောင်း	Lyhaung
လျှော်	Lyhaw
လျှို	Lyho
လျှို့	Lyho
လျှိုး	Lyho
လျှိုက်	Lyhaik
လျှိုင်	Lyhaing
