သ	Tha
သံ	Than
သံ့	Than
သက်	Thet
သင်	Thin
သင်း	Thin
သင့်	Thin
သစ်	Thit
သည်	Thi
သည်း	Thi
သည့်	Thi
သတ်	That
သန်	Than
သန်း	Than
သန့်	Than
သပ်	Thap
သမ်	Tham
သမ်း	Tham
သမ့်	Tham
သယ်	Thae
သွ	Thwa
သွက်	Swet
သွက်	Thwet
သွင်း	Swin
သွင်း	Thwin
သွတ်	Swat
သွတ်	Thwat
သွန်	Swon
သွန်	Thwon
သွန်း	Swon
သွန်း	Thwon
သွပ်	Swap
သွပ်	Thwap
သွမ်း	Swam
သွမ်း	Thwam
သွာ	Thwar
သွား	Swar
သွား	Thwar
သွိ	Swi
သွီ	Swee
သွေး	Sway
သွေး	Thway
သွဲ့	Swae
သွဲ့	Thwae
သာ	Thar
သား	Thar
သိ	Thi
သိတ်	Theik
သိန်	Thein
သိန်း	Thein
သိန့်	Thein
သိပ်	Theik
သိမ်	Thein
သိမ်း	Thein
သိမ့်	Thein
သို	Tho
သိုး	Tho
သို့	Tho
သိုက်	Thaik
သိုင်	Thaing
သိုင်း	Thaing
သိုင့်	Thaing
သီ	Thee
သီး	Thee
သု	Thu
သုံ	Thon
သုံး	Thon
သုံ့	Thon
သုတ်	Thok
သုန်	Thon
သုန်း	Thon
သုန့်	Thon
သုပ်	Thok
သူ	Thoo
သူး	Thoo
သေ	Thay
သေး	Thay
သေ့	Thay
သော	Thaw
သော့	Thaw
သောက်	Thauk
သောင်	Thaung
သောင်း	Thaung
သောင့်	Thaung
သော်	Thaw
သဲ	Thae
သဲ့	Thae
