ဠ	La
ဠက်	Let
ဠင်	Lin
ဠင့်	Lin
ဠင်း	Lin
ဠစ်	Lit
ဠည်	Lyi
ဠည့်	Lyi
ဠည်း	Lyi
ဠတ်	Lat
ဠန်	Lan
ဠန့်	Lan
ဠန်း	Lan
ဠပ်	Lap
ဠမ်	Lam
ဠမ့်	Lam
ဠမ်း	Lam
ဠယ်	Lae
ဠံ	Lan
ဠံ့	Lan
ဠာ	Lar
ဠာ့	Lar
ဠား	Lar
ဠိ	Li
ဠိတ်	Leik
ဠိန်	Lein
ဠိန့်	Lein
ဠိန်း	Lein
ဠိပ်	Leik
ဠိမ်	Lein
ဠိမ့်	Lein
ဠိမ်း	Lein
ဠီ	Lee
ဠီး	Lee
ဠု	Lu
ဠုတ်	Lok
ဠုန်	Lon
ဠုန့်	Lon
ဠုန်း	Lon
ဠုပ်	Lok
ဠုံ	Lon
ဠုံ့	Lon
ဠုံး	Lon
ဠူ	Loo
ဠူး	Loo
ဠေ	Lay
ဠေ့	Lay
ဠေး	Lay
ဠဲ	Lae
ဠဲ့	Lae
ဠော	Law
ဠော့	Law
ဠောက်	Lauk
ဠောင်	Laung
ဠောင့်	Laung
ဠောင်း	Laung
ဠော်	Law
ဠို	Lo
ဠို့	Lo
ဠိုး	Lo
ဠိုက်	Laik
ဠိုင်	Laing
ဠိုင့်	Laing
ဠိုင်း	Laing
ဠွ	Lwa
ဠွက်	Lwet
ဠွင်	Lwin
ဠွင့်	Lwin
ဠွင်း	Lwin
ဠွတ်	Lwat
ဠွန်	Lwan
ဠွန့်	Lwan
ဠွန်း	Lwan
ဠွပ်	Lwap
ဠွမ်	Lwam
ဠွမ့်	Lwam
ဠွမ်း	Lwam
ဠွာ	Lwar
ဠွာ့	Lwar
ဠွား	Lwar
ဠွိ	Lwi
ဠွီ	Lwee
ဠွီး	Lwee
ဠွေ	Lway
ဠွေ့	Lway
ဠွေး	Lway
ဠွဲ	Lwae
ဠွဲ့	Lwae
ဠွော်	Lwaw
