အ	A
အက်	Et
အင်	In
အင့်	In
အင်း	In
အစ်	It
အည်	I
အည့်	I
အည်း	I
အတ်	At
အန်	An
အန့်	An
အန်း	An
အပ်	Ap
အမ်	Am
အမ့်	Am
အမ်း	Am
အယ်	Ae
အံ	An
အံ့	An
အာ	Ar
အာ့	Ar
အား	Ar
အိ	I
အိတ်	Eik
အိန်	Ein
အိန့်	Ein
အိန်း	Ein
အိပ်	Eik
အိမ်	Ein
အိမ့်	Ein
အိမ်း	Ein
အီ	Ee
အီး	Ee
အု	U
အုတ်	Ok
အုန်	On
အုန့်	On
အုန်း	On
အုပ်	Ok
အုံ	On
အုံ့	On
အုံး	On
အူ	Oo
အူး	Oo
အေ	Ay
အေ့	Ay
အေး	Ay
အဲ	Ae
အဲ့	Ae
အော	Aw
အော့	Aw
အောက်	Auk
အောင်	Aung
အောင့်	Aung
အောင်း	Aung
အော်	Aw
အို	O
အို့	O
အိုး	O
အိုက်	Aik
အိုင်	Aing
အိုင့်	Aing
အိုင်း	Aing
အွ	Wa
အွက်	Wet
အွင်	Win
အွင့်	Win
အွင်း	Win
အွတ်	Wat
အွန်	Wan
အွန့်	Wan
အွန်း	Wan
အွပ်	Wap
အွမ်	Wam
အွမ့်	Wam
အွမ်း	Wam
အွာ	War
အွာ့	War
အွား	War
အွိ	Wi
အွီ	Wee
အွီး	Wee
အွေ	Way
အွေ့	Way
အွေး	Way
အွဲ	Wae
အွဲ့	Wae
အွော်	Waw
ဣ	I
ဤ	Ee
ဥ	U
ဦ	Oo
ဧ	Ay
ဨ	Ay
ဩ	Aw
ဪ	Aw
၏	Ei
၌	Nite
၍	Yway
၎င်း	La-gaung
၀	0
၁	1
၂	2
၃	3
၄	4
၅	5
၆	6
၇	7
၈	8
၉	9
